Qubes OS,https://summerofcode.withgoogle.com/archive/2020/organizations/4924517870206976/,"c,python,xen,shell,linux"
Radare,https://summerofcode.withgoogle.com/archive/2020/organizations/6102444192301056/,"c,c++,python,go,qt"
ReactOS,https://summerofcode.withgoogle.com/archive/2020/organizations/5352970822090752/,"c,c++,win32,nt"
RoboComp,https://summerofcode.withgoogle.com/archive/2020/organizations/6622081011154944/,"python,c++11,component-based development,qt,opencv"
RTEMS Project,https://summerofcode.withgoogle.com/archive/2020/organizations/4511020028002304/,"c/c++,python,assembly,posix,bsd unix"
Ruby,https://summerofcode.withgoogle.com/archive/2020/organizations/5633129894641664/,"ruby,c,java"
SageMath,https://summerofcode.withgoogle.com/archive/2020/organizations/6190385258299392/,"python,cython"
Samba,https://summerofcode.withgoogle.com/archive/2020/organizations/5671203068444672/,"smb,cifs,c,python"
SCoRe Lab,https://summerofcode.withgoogle.com/archive/2020/organizations/5384571547287552/,"python,mobile,cloud,web development,machine learning"
Shogun,https://summerofcode.withgoogle.com/archive/2020/organizations/4722091934351360/,"python,c++,data science,machine learning,matlab"
SPDX,https://summerofcode.withgoogle.com/archive/2020/organizations/6283949946437632/,"python,java,golang,node.js,xml"
Ste||ar group,https://summerofcode.withgoogle.com/archive/2020/organizations/6742658493448192/,"cpp,hpx,python,hpc,cuda"
Submitty,https://summerofcode.withgoogle.com/archive/2020/organizations/5702344097923072/,"php,python,postgresql,c++,javascript"
Sugar Labs,https://summerofcode.withgoogle.com/archive/2020/organizations/6305701137219584/,"python,javascript,gtk,pygame,c"
SymbiFlow,https://summerofcode.withgoogle.com/archive/2020/organizations/5628676583981056/,"c/c++,fpga,python,verilog"
SymPy,https://summerofcode.withgoogle.com/archive/2020/organizations/5669371197784064/,python
Synfig,https://summerofcode.withgoogle.com/archive/2020/organizations/5710829074251776/,"c++,gtk,gtkmm,python"
syslog-ng,https://summerofcode.withgoogle.com/archive/2020/organizations/6013743185526784/,"elasticsearch,kafka,sql,python,c"
